Forename,Order ID,Surname,Sales
Jonathan,CA-2013-144218,Doherty,"$1,085"
Neil,CA-2014-164112,Ducich,"$1,085"
Adam,CA-2012-127509,Shillingsburg,"$1,085"
Logan,CA-2014-162789,Currie,"$1,083"
Don,CA-2012-132465,Miller,"$1,082"
Carl,CA-2014-121888,Ludwig,"$1,082"
Trudy,US-2014-165456,Brown,"$1,079"
Greg,CA-2014-161774,Tran,"$1,078"
Gary,CA-2014-151981,Mitchum,"$1,077"
Thomas,CA-2011-140662,Seio,"$1,075"
Lindsay,CA-2014-117702,Shagiari,"$1,072"
Christina,US-2014-117534,VanderZanden,"$1,069"
Ricardo,US-2014-128951,Sperren,"$1,066"
Ruben,US-2014-106145,Ausman,"$1,065"
Rick,CA-2013-115917,Bensley,"$1,065"
Frank,US-2012-168704,Preis,"$1,061"
Dan,US-2013-125402,Lawera,"$1,059"
Cynthia,CA-2013-124352,Delaney,"$1,058"
Stewart,CA-2012-112130,Visinsky,"$1,058"
Jenna,CA-2014-108560,Caffey,"$1,058"
Dana,CA-2014-152310,Kaydos,"$1,057"
Paul,CA-2013-102092,MacIntyre,"$1,057"
Joseph,CA-2012-109638,Holt,"$1,055"
Toby,CA-2013-146633,Gnade,"$1,055"
Cari,CA-2014-131828,Sayre,"$1,052"
David,CA-2011-112158,Philippe,"$1,051"
Maribeth,CA-2011-143371,Dona,"$1,050"
Filia,US-2014-164056,McAdams,"$1,048"
Keith,CA-2012-133242,Herrera,"$1,046"
Katherine,CA-2013-137743,Hughes,"$1,046"
Janet,CA-2013-105816,Molinari,"$1,045"
Emily,CA-2012-106320,Burns,"$1,045"
Sheri,US-2014-102890,Gordon,"$1,045"
Ken,CA-2011-102673,Heidel,"$1,044"
Rick,CA-2012-124800,Wilson,"$1,044"
Susan,CA-2013-129280,MacKendrick,"$1,043"
Tom,CA-2011-131002,Boeckenhauer,"$1,040"
Jas,CA-2012-130890,O'Carroll,"$1,039"
Theresa,CA-2014-124205,Coyne,"$1,038"
Sanjit,US-2011-157385,Chand,"$1,037"
Barry,CA-2012-145758,Französisch,"$1,036"
Matt,CA-2012-143105,Abelman,"$1,033"
Dave,CA-2014-100622,Kipp,"$1,031"
Luke,CA-2013-132997,Weiss,"$1,030"
Daniel,CA-2013-101672,Byrd,"$1,028"
Dean,CA-2014-148404,percer,"$1,027"
Dean,CA-2013-158778,Braden,"$1,025"
Benjamin,CA-2012-135174,Patterson,"$1,023"
Ruben,CA-2011-129091,Ausman,"$1,023"
Kean,CA-2013-146206,Thornton,"$1,021"
Dianna,CA-2014-145233,Vittorini,"$1,020"
Anne,US-2013-103674,Pryor,"$1,018"
Michael,US-2012-157154,Moore,"$1,018"
Dorothy,CA-2014-115882,Badders,"$1,017"
Cathy,CA-2013-107328,Armstrong,"$1,016"
Ken,CA-2011-153913,Black,"$1,016"
Cynthia,US-2013-144057,Voltz,"$1,014"
Pauline,CA-2012-153388,Chand,"$1,012"
Deanra,CA-2012-142601,Eno,"$1,009"
Mitch,CA-2011-103660,Webber,"$1,008"
Greg,CA-2011-106439,Guthrie,"$1,008"
Alan,CA-2014-147956,Hwang,"$1,004"
Rob,CA-2013-168753,Lucas,"$1,003"
Joel,US-2012-134026,Eaton,"$1,002"
Shaun,CA-2013-140249,Weien,"$1,002"
Heather,CA-2012-150875,Kirkland,"$1,001"
Justin,CA-2011-160094,MacKendrick,"$1,001"
Keith,CA-2012-121650,Dawkins,"$1,000"
Yana,CA-2014-138380,Sorensen,"$1,000"
Nora,CA-2012-156104,Pelletier,"$1,000"
Toby,CA-2013-166429,Gnade,"$1,000"
Brian,CA-2011-121629,Thompson,$999
Ruben,CA-2013-140382,Dartt,$998
Saphhira,CA-2014-164756,Shifley,$998
Candace,CA-2014-121489,McMahon,$994
Claire,CA-2013-152156,Gute,$994
Nick,CA-2011-145254,Crebassa,$993
Aaron,CA-2012-130113,Hawkins,$991
Toby,CA-2014-121048,Carlisle,$988
Marc,US-2014-141558,Harrigan,$987
Todd,CA-2014-166436,Sumrall,$983
Sean,US-2012-108966,O'Donnell,$980
Brad,US-2014-166324,Eason,$980
Doug,CA-2012-137946,Bickford,$979
Natalie,CA-2014-105410,DeCherney,$977
Kean,CA-2013-112669,Takahito,$977
Luke,CA-2012-109512,Foster,$976
Dave,CA-2012-104941,Hallsten,$976
Lena,US-2014-113992,Creighton,$975
Roy,CA-2012-154326,Phan,$975
Eugene,CA-2014-134915,Moren,$972
Valerie,CA-2012-166583,Dominguez,$972
Arthur,CA-2011-146969,Prichep,$968
Chris,CA-2013-145730,Cortes,$962
Erica,US-2013-164630,Bern,$960
Nora,CA-2013-114104,Paige,$960
Rick,US-2014-116652,Duston,$959
Craig,CA-2014-112753,Carreira,$957
Harry,US-2013-110170,Marie,$957
Janet,CA-2014-151750,Martin,$955
Sarah,CA-2014-108441,Bern,$955
Anne,CA-2014-104731,McFarland,$952
Ed,CA-2014-147277,Braxton,$950
Resi,CA-2011-148383,Pölking,$947
Anna,CA-2012-110548,Häberlin,$946
Shirley,US-2011-155502,Daniels,$945
Sally,US-2013-115441,Hughsby,$941
Andrew,CA-2012-162201,Gjertsen,$938
Roland,US-2014-130953,Fjeld,$936
Patrick,CA-2011-120838,O'Donnell,$935
Bruce,CA-2013-156748,Stewart,$934
Maribeth,CA-2014-132290,Dona,$933
Damala,CA-2014-139199,Kotsonis,$927
Maya,CA-2011-124429,Herman,$926
Nathan,CA-2012-136805,Mautz,$926
Katharine,CA-2014-128944,Harms,$921
Laura,CA-2013-132829,Armstrong,$921
Christine,CA-2012-142755,Sundaresam,$919
Annie,CA-2013-100993,Zypern,$919
Alan,CA-2014-143245,Dominguez,$917
Jason,CA-2014-119578,Gross,$916
Fred,CA-2014-104801,Harton,$914
Scott,CA-2014-107132,Cohen,$913
Christina,CA-2012-120362,Anderson,$913
Jim,CA-2014-142622,Karlsson,$912
Scot,CA-2013-156685,Coram,$911
Zuschuss,CA-2012-133452,Carroll,$911
Michael,CA-2014-154410,Dominguez,$909
Janet,CA-2014-128853,Martin,$909
Katharine,CA-2011-140396,Harms,$908
Kelly,US-2011-141215,Lampkin,$906
Craig,CA-2014-116519,Reiter,$905
Liz,US-2011-165659,Thompson,$904
Chris,CA-2014-161410,Cortes,$904
Arthur,CA-2013-168893,Prichep,$904
Seth,CA-2013-118745,Vernon,$903
Rob,CA-2014-155460,Williams,$901
Julie,CA-2013-150945,Kriz,$900
Dan,CA-2012-103933,Reichenbach,$900
Paul,CA-2013-145177,Prost,$900
Victor,CA-2014-105333,Preis,$899
Kalyca,CA-2012-108665,Meade,$896
Theresa,CA-2012-149342,Swint,$896
Craig,CA-2014-130302,Yedwab,$896
Max,CA-2014-147291,Jones,$896
Ross,US-2013-123750,Baird,$895
Juliana,CA-2012-107678,Krohn,$893
Ricardo,CA-2014-115154,Sperren,$893
Carol,CA-2012-161452,Adams,$892
Brian,CA-2013-123358,Thompson,$892
Ben,CA-2011-109897,Wallace,$892
Nat,CA-2014-111332,Carroll,$892
Thea,CA-2014-127782,Hudgings,$892
Mike,CA-2011-137274,Gockenbach,$891
Roland,US-2014-100048,Schwarz,$889
Justin,CA-2013-161907,Hirsh,$888
Bill,CA-2011-168130,Shonely,$887
Nick,US-2011-106299,Zandusky,$886
Scott,CA-2013-127761,Williamson,$886
Jeremy,CA-2013-133795,Ellison,$885
Duane,CA-2013-114860,Noonan,$885
Harold,CA-2012-135538,Ryan,$884
Barry,CA-2013-160535,Pond,$883
Katherine,CA-2014-135937,Murray,$883
Duane,CA-2014-121853,Benoit,$879
Dianna,CA-2013-164399,Wilson,$878
Maris,CA-2011-125556,LaWare,$877
Lena,CA-2014-113705,Cacioppo,$875
Maribeth,US-2013-105578,Yedwab,$874
Darrin,CA-2014-168389,Van,$874
Laurel,CA-2014-147032,Beltran,$873
Dave,CA-2013-113292,Brooks,$872
Anne,US-2014-124821,McFarland,$871
Frank,CA-2014-121503,Hawley,$871
Trudy,CA-2013-148684,Schmidt,$870
Chuck,CA-2014-166695,Clark,$868
Edward,CA-2013-100944,Hooks,$868
Katherine,CA-2012-145814,Ducich,$868
Maya,CA-2011-124702,Herman,$868
Liz,CA-2013-118514,Carlisle,$866
Natalie,CA-2014-155705,Fritzler,$866
Dave,CA-2011-102274,Hallsten,$866
Paul,CA-2014-117401,Prost,$865
Mike,CA-2013-127698,Vittorini,$864
Jocasta,CA-2014-117079,Rupert,$864
Anna,CA-2013-144148,Häberlin,$863
Lindsay,CA-2011-137092,Shagiari,$862
Toby,CA-2012-143364,Gnade,$861
Patrick,CA-2012-154746,Jones,$860
Erin,CA-2013-108056,Smith,$859
Logan,CA-2013-137043,Currie,$859
Kelly,CA-2011-111451,Lampkin,$855
Troy,CA-2011-142839,Staebel,$853
James,CA-2014-128734,Lanier,$851
Helen,CA-2014-140326,Wasserman,$850
Jamie,CA-2014-121083,Frazer,$847
Peter,CA-2012-140025,Fuller,$847
Justin,CA-2012-138898,Hirsh,$846
Brooke,US-2013-162852,Gillingham,$845
Adrian,CA-2014-101042,Barton,$844
Adam,CA-2013-149797,Hart,$842
Speros,CA-2011-121573,Goranitis,$841
Shirley,CA-2013-157336,Jackson,$840
Brooke,CA-2013-153682,Gillingham,$840
Zuschuss,CA-2013-152471,Donatelli,$840
Sandra,CA-2014-155376,Glassco,$839
Claudia,CA-2014-161046,Bergmann,$839
Darrin,US-2014-105389,Martin,$838
Dionis,CA-2013-127649,Lloyd,$838
Sean,US-2012-130512,Miller,$837
Maureen,US-2013-142685,Gnade,$835
Darren,CA-2014-132178,Budd,$833
Sung,US-2012-126753,Pak,$832
Bart,CA-2011-162992,Pistole,$832
Jonathan,CA-2013-168046,Doherty,$832
Jill,CA-2014-167941,Fjeld,$831
Meg,CA-2014-157931,O'Connel,$830
Bart,CA-2014-160325,Pistole,$830
Dorothy,CA-2011-136336,Badders,$829
Michael,CA-2012-110765,Paige,$825
Michelle,CA-2014-140963,Tran,$824
Ross,US-2013-168620,Baird,$824
Steve,US-2012-164308,Carroll,$822
Deborah,CA-2014-122504,Brumfield,$822
Bradley,CA-2013-169943,Nguyen,$821
Mick,CA-2014-114055,Hernandez,$819
Mick,CA-2014-144498,Brown,$818
Evan,CA-2011-111962,Bailliet,$818
Rick,US-2013-146066,Bensley,$815
Matt,CA-2013-131835,Collister,$815
James,US-2014-116897,Galang,$815
Muhammed,CA-2013-164770,Yedwab,$813
Scott,CA-2014-137022,Williamson,$811
Ken,CA-2012-115798,Lonsdale,$810
Brosina,US-2011-140914,Hoffman,$809
Robert,CA-2014-110905,Waldorf,$809
Rob,CA-2012-157770,Dowd,$809
Seth,US-2014-165358,Vernon,$808
Ruben,CA-2011-158372,Dartt,$808
Eugene,CA-2012-146255,Moren,$808
Lisa,CA-2012-102876,Ryan,$806
Trudy,CA-2014-120138,Brown,$806
Laurel,CA-2014-118199,Beltran,$806
Mick,CA-2011-101602,Crebagga,$804
Shahid,CA-2011-127558,Shariari,$803
Henry,CA-2013-145919,Goldwyn,$802
Alan,CA-2012-165050,Hwang,$802
Laurel,US-2013-157490,Beltran,$802
Julie,CA-2011-120670,Kriz,$800
Jessica,CA-2013-157259,Myrick,$800
Richard,CA-2014-153871,Bierner,$799
Michael,CA-2012-124975,Grace,$796
Dan,US-2012-159982,Reichenbach,$796
Christina,CA-2014-102925,DeMoss,$796
Dario,CA-2011-141649,Medina,$795
Sean,CA-2012-161718,O'Donnell,$795
Anna,CA-2012-113628,Häberlin,$793
Frank,CA-2011-100916,Hawley,$789
Tom,US-2011-119081,Ashbrook,$788
Dave,CA-2012-110457,Kipp,$788
Stephanie,CA-2013-136770,Phelps,$787
Jill,CA-2013-153318,Stevenson,$784
Filia,CA-2011-114790,McAdams,$783
Chad,CA-2014-100524,McGuire,$782
Benjamin,CA-2014-106859,Farhat,$780
Bruce,CA-2011-103373,Stewart,$780
Nathan,CA-2014-130386,Gelder,$779
Kalyca,US-2012-138093,Meade,$776
Joe,CA-2014-126914,Elijah,$776
Alex,US-2011-115189,Russell,$776
Katherine,US-2012-123218,Ducich,$775
Ashley,US-2012-132836,Jarboe,$774
Jim,CA-2011-166051,Karlsson,$774
Steve,US-2013-124163,Chapman,$774
Gary,CA-2013-161025,McGarr,$773
Tony,CA-2014-121419,Chapman,$772
Ruben,CA-2011-149104,Dartt,$771
Sue,CA-2014-124436,Ann,$770
Seth,CA-2012-168746,Vernon,$769
James,CA-2012-131856,Galang,$769
Thomas,CA-2011-163447,Brumley,$767
Michelle,US-2014-124968,Moray,$766
Laurel,CA-2011-103429,Workman,$765
Sanjit,CA-2012-102260,Jacobs,$764
Skye,CA-2014-152093,Norling,$763
David,US-2014-148551,Bremer,$761
Bryan,CA-2014-135279,Spruell,$761
Gary,CA-2011-138940,Mitchum,$758
Gary,CA-2012-144806,Hwang,$758
Victoria,CA-2013-120369,Brennan,$757
Natalie,US-2013-157945,Fritzler,$756
Mike,US-2012-138303,Gockenbach,$755
Troy,CA-2013-156300,Blackwell,$754
Mary,CA-2013-102981,O'Rourke,$754
Greg,CA-2014-131807,Guthrie,$753
Roland,CA-2011-128846,Schwarz,$753
Noah,US-2013-100839,Childs,$752
Janet,CA-2014-137631,Lee,$752
Harry,CA-2011-129189,Marie,$752
Rob,CA-2012-109386,Haberlin,$751
Yoseph,CA-2014-121741,Carroll,$751
Stewart,CA-2014-112529,Carmichael,$750
Lena,CA-2013-107146,Creighton,$749
Eugene,US-2012-154389,Hildebrand,$749
Steven,CA-2014-108539,Cartwright,$745
Patrick,CA-2013-151561,Gardner,$744
Christopher,CA-2013-133816,Schild,$744
Gene,CA-2012-127173,McClure,$743
Amy,US-2011-167262,Cox,$742
John,CA-2012-120880,Lucas,$741
Joel,CA-2014-129462,Eaton,$741
Aaron,CA-2014-113481,Smayling,$740
David,CA-2013-127243,Smith,$740
Barry,CA-2014-103380,Franz,$740
Liz,CA-2012-168207,Thompson,$739
Max,CA-2014-137449,Engle,$739
Giulietta,CA-2013-121223,Dortch,$737
Jay,US-2011-102715,Kimmel,$737
Brian,CA-2012-124107,Moss,$736
Helen,CA-2013-140130,Wasserman,$736
Suzanne,CA-2014-150497,McNair,$736
Daniel,US-2011-137155,Lacy,$734
Arthur,CA-2012-130785,Gainer,$733
Daniel,US-2014-159205,Byrd,$733
Tony,CA-2011-134551,Sayre,$732
Matthew,CA-2013-139395,Grinstein,$732
Ritsa,CA-2013-164574,Hightower,$732
Justin,CA-2011-119144,Deggeller,$731
Irene,CA-2012-104346,Maddox,$730
Carlos,US-2011-159926,Soltero,$730
Patricia,CA-2014-113558,Hirasaki,$730
Michelle,CA-2014-164378,Moray,$729
Michael,CA-2014-165204,Nguyen,$729
Laura,CA-2013-108882,Armstrong,$728
Joel,CA-2014-161053,Eaton,$727
Becky,CA-2014-113530,Castell,$727
Alex,CA-2011-128055,Avila,$727
Kristen,CA-2014-163979,Hastings,$726
Steven,CA-2011-159310,Cartwright,$725
Sean,US-2014-165344,Braxton,$725
Joe,CA-2013-112109,Elijah,$725
Harold,CA-2014-166184,Ryan,$725
Chuck,CA-2013-116736,Clark,$725
Henia,CA-2014-124765,Zydlo,$724
Keith,CA-2012-104948,Herrera,$723
Eugene,CA-2012-106257,Barchas,$721
Harold,CA-2011-127131,Ryan,$721
Noah,CA-2014-100951,Childs,$721
Mark,CA-2011-140473,Cousins,$720
Kean,US-2011-140116,Thornton,$720
Tom,CA-2014-134565,Boeckenhauer,$719
Bart,CA-2014-154074,Watters,$719
Cyma,US-2014-117247,Kinney,$719
John,CA-2013-100790,Grady,$719
Justin,CA-2012-142202,Ritter,$717
Rob,CA-2013-112585,Williams,$716
Stewart,CA-2012-162887,Visinsky,$715
Roland,CA-2014-113670,Schwarz,$715
Mark,CA-2011-162089,Packer,$715
Theresa,US-2013-152051,Swint,$714
Steve,CA-2012-158659,Chapman,$714
Dave,CA-2013-127369,Brooks,$714
Valerie,US-2014-101539,Mitchum,$713
Christine,CA-2014-124296,Sundaresam,$713
William,US-2012-156496,Brown,$712
Frank,CA-2011-152443,Gastineau,$712
Ralph,CA-2014-141929,Arnett,$711
Emily,CA-2014-149888,Phan,$710
Ryan,CA-2011-169775,Akin,$709
Xylona,CA-2011-167927,Preis,$709
Matt,CA-2011-140732,Abelman,$708
Dean,CA-2013-168543,Katz,$707
Alyssa,CA-2011-129924,Crouse,$706
Aimee,CA-2011-169061,Bixby,$706
John,CA-2013-118626,Castell,$706
Janet,CA-2012-137925,Lee,$705
Joy,CA-2014-163265,Smith,$705
Eugene,US-2013-156097,Hildebrand,$704
Cyra,CA-2014-159149,Reiten,$703
Edward,US-2012-147242,Hooks,$703
Marc,CA-2014-169327,Harrigan,$703
Max,CA-2014-143756,Engle,$702
Brendan,US-2014-109610,Sweed,$702
Kean,CA-2011-155887,Thornton,$700
Clytie,CA-2014-100902,Kelty,$699
Ed,CA-2011-100090,Braxton,$699
Chris,CA-2013-144309,McAfee,$699
Carol,CA-2012-105690,Adams,$698
Justin,CA-2014-143378,Ritter,$698
Katrina,CA-2014-161067,Bavinger,$698
Toby,CA-2011-130624,Braunhardt,$697
Robert,CA-2013-127670,Dilbeck,$697
Kunst,CA-2011-100678,Miller,$697
Arthur,CA-2014-107321,Wiediger,$696
James,CA-2014-118885,Galang,$696
Toby,CA-2013-147368,Carlisle,$696
Dan,CA-2014-143574,Reichenbach,$695
Michael,CA-2011-156594,Chen,$695
Adam,CA-2011-156160,Shillingsburg,$694
Maureen,CA-2014-121300,Gastineau,$693
Benjamin,CA-2013-154662,Farhat,$693
Andy,US-2012-136987,Reiter,$693
Magdelene,CA-2013-120355,Morse,$693
Stefanie,CA-2012-166975,Holloman,$692
Trudy,CA-2012-137064,Schmidt,$692
Quincy,CA-2014-144526,Jones,$691
Peter,CA-2014-159667,McVee,$691
Emily,CA-2012-163587,Phan,$688
Scott,CA-2011-169803,Cohen,$687
Hallie,CA-2012-103954,Redmond,$687
Cindy,CA-2013-158260,Chapman,$686
Sanjit,CA-2013-126158,Chand,$686
Thea,US-2011-133130,Hendricks,$686
Sean,CA-2014-147361,Braxton,$685
Stephanie,CA-2014-148922,Ulpright,$685
Adam,CA-2014-136448,Shillingsburg,$684
Shirley,CA-2014-102337,Daniels,$683
Robert,CA-2011-158274,Marley,$683
Cyra,US-2014-136868,Reiten,$682
Laurel,CA-2013-131968,Beltran,$681
Katrina,US-2012-166520,Edelman,$681
Clytie,US-2013-167472,Kelty,$679
Victoria,CA-2014-116715,Wilson,$678
Ken,CA-2013-157749,Lonsdale,$678
Clytie,CA-2012-142237,Kelty,$677
Maribeth,CA-2014-163902,Yedwab,$677
Bruce,CA-2014-146192,Degenhardt,$675
Michelle,CA-2014-168655,Lonsdale,$675
Matt,US-2011-161613,Connell,$674
Frank,US-2012-115343,Olsen,$674
Natalie,CA-2014-130505,Fritzler,$673
Helen,CA-2012-110744,Andreada,$672
Adrian,CA-2012-163181,Barton,$671
Randy,CA-2011-159835,Bradley,$670
Benjamin,CA-2012-156734,Venier,$670
Becky,US-2014-120418,Castell,$669
Victoria,CA-2014-155698,Brennan,$669
David,CA-2012-130456,Smith,$667
Pete,CA-2011-105893,Kriz,$666
Julia,CA-2012-107937,Barnett,$666
Steven,CA-2013-137050,Ward,$664
Fred,US-2013-135720,McMath,$664
Max,US-2014-120089,Ludwig,$664
Barry,US-2014-124779,Französisch,$664
Dianna,CA-2011-124646,Vittorini,$664
Laura,CA-2011-107811,Armstrong,$662
Victoria,CA-2013-125080,Wilson,$661
Barry,CA-2014-117198,Gonzalez,$660
Fred,CA-2012-124499,McMath,$660
Dorris,CA-2013-120530,liebe,$659
George,CA-2013-132731,Ashbrook,$658
Darrin,CA-2014-139717,Martin,$657
Dennis,US-2013-139087,Kane,$656
Justin,CA-2014-159506,Ritter,$656
Tim,CA-2012-141040,Brockman,$656
Ted,CA-2013-111682,Butterfield,$655
Andy,CA-2012-164084,Gerbode,$655
Darrin,CA-2014-131954,Sayre,$654
Jack,CA-2014-130764,O'Briant,$653
Ted,CA-2012-116876,Trevino,$652
Vicky,CA-2011-113880,Freymann,$652
Beth,CA-2013-142398,Paige,$651
Mike,US-2013-127334,Pelletier,$651
Jim,CA-2011-135608,Karlsson,$650
Lena,CA-2014-109183,Radford,$649
Sonia,CA-2011-136644,Cooley,$648
Liz,US-2012-120131,MacKendrick,$647
David,CA-2012-163055,Smith,$647
Darren,CA-2011-163034,Koutras,$646
Helen,US-2013-113649,Andreada,$645
Lena,CA-2012-124058,Creighton,$645
Chloris,US-2013-100720,Kastensmidt,$644
Rick,CA-2011-117765,Bensley,$644
Ellis,CA-2014-156951,Ballard,$644
Tony,CA-2013-113978,Sayre,$642
Harry,CA-2013-100510,Marie,$642
Laurel,CA-2013-157245,Elliston,$642
Joseph,CA-2011-151295,Airdo,$641
Karen,US-2014-148362,Ferguson,$640
Lena,US-2011-156559,Hernandez,$639
Ashley,CA-2014-133004,Jarboe,$639
Charlotte,CA-2014-146164,Melton,$639
Katherine,CA-2012-154823,Nockton,$637
Raymond,US-2014-127292,Messe,$637
Pete,CA-2013-115756,Kriz,$634
Anthony,CA-2013-160745,Rawles,$633
Kunst,CA-2013-109666,Miller,$633
Maxwell,CA-2012-135020,Schwartz,$633
Nick,CA-2012-144267,Zandusky,$632
Sally,CA-2014-119193,Knutson,$632
Giulietta,CA-2014-155075,Weimer,$631
Jonathan,CA-2011-122336,Doherty,$631
Odella,CA-2013-130820,Nelson,$630
Ken,CA-2014-159156,Brennan,$630
Mike,CA-2014-128755,Kennedy,$630
Max,CA-2014-103968,Ludwig,$630
Liz,CA-2013-159373,Thompson,$629
Joni,CA-2012-169397,Blumstein,$628
Sally,CA-2014-101805,Hughsby,$628
Craig,CA-2012-112144,Yedwab,$628
Justin,CA-2012-116092,MacKendrick,$627
Dorothy,CA-2014-104885,Badders,$627
Eva,CA-2011-105648,Jacobs,$626
Gary,US-2013-161396,Mitchum,$625
Russell,CA-2012-139248,D'Ascenzo,$624
Erica,CA-2013-135461,Bern,$624
Katharine,CA-2014-120404,Harms,$624
Craig,CA-2011-154158,Carreira,$620
Philip,US-2011-134614,Fox,$618
Marina,CA-2011-134215,Lichtenstein,$617
Irene,CA-2013-140501,Maddox,$616
Liz,CA-2011-104283,MacKendrick,$616
Sanjit,US-2013-115455,Engle,$616
Carlos,CA-2013-161746,Soltero,$615
Patrick,CA-2012-130183,O'Brill,$614
Philip,CA-2012-137526,Brown,$612
Steve,US-2013-146570,Nguyen,$612
Michael,CA-2013-122063,Moore,$612
Becky,CA-2013-126004,Martin,$611
Adrian,CA-2013-145261,Hane,$610
Vivek,US-2012-165512,Sundaresam,$610
Pamela,CA-2012-143147,Stobb,$610
Stefania,CA-2011-104738,Perrino,$610
Liz,CA-2011-129147,Carlisle,$609
Cynthia,CA-2012-149972,Delaney,$609
Ralph,CA-2014-162565,Ritter,$609
Olvera,CA-2014-162173,Toch,$608
Alan,CA-2011-153983,Hwang,$606
Jason,CA-2013-116799,Gross,$606
Julie,CA-2014-154039,Kriz,$606
Stewart,CA-2011-100895,Visinsky,$605
Luke,CA-2011-115084,Schmidt,$605
Karen,CA-2011-132451,Ferguson,$605
Sam,CA-2014-157273,Zeldin,$605
Peter,CA-2011-128888,Bühler,$605
Jim,US-2012-103471,Radford,$604
Frank,US-2012-131359,Atkinson,$603
Jonathan,CA-2011-127866,Doherty,$602
Jennifer,CA-2012-120915,Jackson,$602
Denny,CA-2012-129322,Blanton,$601
Alan,US-2011-152030,Dominguez,$601
Erin,CA-2012-158939,Ashbrook,$600
Gary,CA-2014-159282,Hansen,$600
Erin,CA-2012-104129,Smith,$600
Natalie,CA-2011-148915,DeCherney,$600
Emily,CA-2013-144939,Burns,$599
Marc,US-2013-108497,Harrigan,$599
Debra,CA-2012-117884,Catini,$598
Dianna,US-2014-132297,Wilson,$598
Rick,CA-2014-128041,Wilson,$598
Erin,CA-2011-108189,Smith,$598
Justin,CA-2014-158169,MacKendrick,$598
Carol,CA-2011-138681,Triggs,$597
Karen,CA-2012-109470,Carlisle,$596
Patrick,CA-2013-103464,Gardner,$595
Nat,CA-2014-120019,Gilpin,$595
Dennis,CA-2012-131884,Kane,$594
Carl,CA-2014-152436,Weiss,$593
Laurel,US-2011-150119,Beltran,$593
Adrian,CA-2014-153822,Barton,$592
Matt,CA-2011-103989,Connell,$591
Bill,CA-2012-142475,Stewart,$590
Andrew,CA-2013-121671,Allen,$590
Chris,CA-2011-166891,Cortes,$589
Evan,CA-2013-167115,Henry,$589
Michael,CA-2014-117667,Stewart,$588
Duane,CA-2011-166744,Noonan,$587
Michael,CA-2011-123225,Nguyen,$586
Carlos,US-2011-141257,Soltero,$586
Christine,CA-2013-133613,Phan,$585
Rick,CA-2011-152618,Bensley,$583
Deirdre,CA-2012-130848,Greer,$582
Helen,CA-2014-130141,Abelman,$582
Brian,CA-2014-130211,DeCherney,$582
Laurel,CA-2011-160773,Workman,$581
Nicole,US-2014-136721,Hansen,$581
Sam,CA-2012-147690,Craven,$578
Katharine,CA-2013-153577,Harms,$577
Adam,CA-2013-119865,Shillingsburg,$576
Marina,CA-2011-156349,Lichtenstein,$576
Shahid,CA-2011-131009,Collister,$574
Frank,CA-2013-113845,Atkinson,$574
Dave,CA-2013-134334,Kipp,$574
Jonathan,CA-2013-136329,Doherty,$573
Jay,CA-2013-122581,Kimmel,$573
Eric,CA-2012-156566,Murdock,$573
Jesus,CA-2012-119291,Ocampo,$570
Erin,CA-2013-102813,Ashbrook,$570
Henry,CA-2012-129917,MacAllister,$569
Toby,CA-2012-153416,Swindell,$569
Corey-Lock,CA-2012-147501,,$565
Tracy,CA-2014-133256,Hopkins,$564
Parhena,CA-2013-138597,Norris,$564
Aaron,CA-2013-140935,Bergman,$564
Pete,CA-2013-118332,Kriz,$564
Pamela,CA-2014-128965,Stobb,$563
Phillip,US-2014-130687,Flathmann,$563
Amy,CA-2014-115546,Hunt,$563
Cindy,CA-2013-118073,Schnelling,$562
Katrina,CA-2014-144904,Willman,$562
Xylona,CA-2013-109365,Preis,$562
Resi,CA-2011-142769,Pölking,$562
Raymond,CA-2013-166674,Buch,$561
Marina,CA-2011-121762,Lichtenstein,$561
Emily,CA-2011-134278,Phan,$560
Tanja,CA-2012-140557,Norvell,$560
Andy,CA-2011-158281,Gerbode,$560
Dana,CA-2014-108112,Kaydos,$559
Tony,CA-2014-108791,Molinari,$559
Julie,CA-2013-146171,Prescott,$558
Herbert,CA-2013-117681,Flentye,$557
Rick,CA-2012-157805,Huthwaite,$556
Paul,CA-2011-161508,Van,$554
Jim,CA-2014-104864,Sink,$553
Jim,CA-2013-122133,Radford,$553
Susan,CA-2014-116953,Vittorini,$552
Maureen,US-2011-169789,Fritzler,$552
Theone,US-2014-107384,Pippenger,$552
Valerie,US-2012-145436,Dominguez,$551
Charles,CA-2014-117632,Sheldon,$551
Muhammed,CA-2013-149272,Yedwab,$551
Ted,CA-2013-145982,Butterfield,$550
Liz,CA-2013-112830,Preis,$549
Lisa,CA-2013-143406,Ryan,$548
Skye,CA-2013-118101,Norling,$548
Laura,CA-2013-164091,Armstrong,$547
Maribeth,CA-2014-132234,Yedwab,$547
Justin,US-2012-147739,Deggeller,$547
Craig,CA-2012-109190,Carroll,$547
Arthur,CA-2013-120824,Wiediger,$547
Natalie,CA-2011-109232,DeCherney,$546
Tom,CA-2011-155796,Stivers,$546
Daniel,CA-2012-136798,Lacy,$546
Christina,CA-2014-140053,Anderson,$546
Roger,CA-2013-149762,Demir,$545
Kean,US-2013-133879,Takahito,$545
Michael,US-2012-163433,Paige,$544
Giulietta,CA-2014-130309,Baptist,$544
Maria,CA-2014-148474,Etezadi,$544
Chris,CA-2011-101560,Selesnick,$542
